Date,Name,ID,Diameter (Min M),Diameter (Max M),Potentially Hazardous
2023-12-02,(2010 XQ69),3553987,58.1507039646,130.0289270043,False
2023-12-02,(2015 FU284),3714590,5.8150703965,13.0028927004,False
2023-12-02,(2016 UW41),3762123,167.7084621628,375.0075217981,False
2023-12-02,(2017 AL4),3766334,65.2461629789,145.8948556919,False
2023-12-02,(2019 UJ6),3879720,16.0160337979,35.8129403019,False
2023-12-02,(2023 XJ),54412461,4.9040509842,10.9657913657,False
2023-12-02,(2023 XU),54412472,3.2103691737,7.1786037053,False
2023-12-02,(2023 XG1),54413274,42.7124985051,95.5080501462,False
2023-12-02,(2023 XM1),54413279,33.9277435382,75.8647408746,False
2023-12-05,(2012 XN55),3619732,44.7254765433,100.0092058768,False
2023-12-05,(2014 YN9),3702938,184.7374636151,413.0855266343,False
2023-12-05,(2015 YQ1),3738932,6.676594135,14.9293183439,False
2023-12-05,(2016 VY3),3763554,252.6707541538,564.9889822141,False
2023-12-05,(2018 JP1),3824066,179.7028548592,401.8277992159,False
2023-12-05,(2018 WL2),3836660,112.8638800969,252.3713081011,False
2023-12-05,(2018 XN),3836720,44.1118199997,98.6370281305,False
2023-12-05,(2019 TZ6),3879168,7.6657557353,17.1411509231,False
2023-12-05,(2022 WF2),54327895,14.4063836669,32.2136531891,False
2023-12-05,(2023 VC9),54405063,85.6160084723,191.4432149063,False
2023-12-05,(2023 WW),54406857,30.2381332572,67.6145214758,False
2023-12-05,(2023 XZ),54412477,5.4269394569,12.1350055355,False
2023-12-05,(2023 XD1),54413271,9.6506146958,21.5794304844,False
2023-12-05,(2023 XR1),54413289,16.6937911773,37.3284518745,False
2023-12-05,(2023 XT1),54413291,32.851482781,73.4581486599,False
2023-12-05,(2023 XB2),54413299,59.5052078631,133.0576897973,False
2023-12-05,(2023 XJ2),54414132,36.6906137531,82.0427064882,False
2023-12-05,(2023 XT10),54415894,6.4055286294,14.3231974473,False
2023-12-05,(2023 XW10),54416577,20.9196770901,46.7778200408,False
2023-12-05,(2023 XK13),54416845,63.1764148185,141.2667581089,False
2023-12-05,(2023 XT13),54416854,22.2103282246,49.6638037128,False
2023-12-04,(2013 VX4),3653519,45.7672667231,102.3387195373,False
2023-12-04,(2016 NM15),3754434,8.4053340207,18.7948982439,False
2023-12-04,(2017 CP32),3769400,41.9329075486,93.7648317729,False
2023-12-04,(2018 VP9),3836243,312.2877701029,698.296682492,False
2023-12-04,(2020 XR1),54098026,46.1907460282,103.2856480504,False
2023-12-04,(2020 YZ),54100698,135.6922289935,303.4170480479,False
2023-12-04,(2021 FR1),54132420,88.4209092655,197.7151637501,False
2023-12-04,(2023 KL2),54359836,18.7307417731,41.8832118738,False
2023-12-04,(2023 MQ3),54374051,24.4655496172,54.706632051,False
2023-12-04,(2023 WB2),54407416,37.5452479361,83.9537266171,False
2023-12-04,(2023 XA),54412201,15.2249185036,34.043952726,False
2023-12-04,(2023 XB),54412200,4.53476699,10.1400472517,False
2023-12-04,(2023 XP),54412467,16.0160337979,35.8129403019,False
2023-12-04,(2023 XX2),54414143,10.012786977,22.3892723248,False
2023-12-04,(2023 XG7),54415308,11.4433973069,25.5882142717,False
2023-12-04,(2024 AJ3),54419813,255.0086878569,570.2167609011,False
2023-12-07,337252 (2000 SD8),2337252,182.2027705911,407.4177807305,False
2023-12-07,455322 (2002 NX18),2455322,795.3439404105,1778.4431162503,False
2023-12-07,(2001 WK15),3092517,143.4019234645,320.6564489709,False
2023-12-07,(2015 HW10),3717054,19.2555078188,43.0566244241,False
2023-12-07,(2018 GQ),3802401,54.0200493507,120.792502496,False
2023-12-07,(2018 RP8),3830496,294.1406017813,657.7183805256,False
2023-12-07,(2018 XW2),3836859,21.6050351196,48.3103271838,False
2023-12-07,(2020 BF6),3989146,22.1082810359,49.435619262,False
2023-12-07,(2021 EL3),54131345,4.5978518828,10.2811093604,False
2023-12-07,(2023 VX2),54402977,21.6050351196,48.3103271838,False
2023-12-07,(2023 VL8),54404882,73.884778657,165.2113875797,False
2023-12-07,(2023 XD),54412203,11.1315329608,24.8908643942,False
2023-12-07,(2023 XH),54412460,12.2054831812,27.2922900914,False
2023-12-07,(2023 XT),54412471,4.7924211552,10.7161794798,False
2023-12-07,(2023 XY),54412476,14.6742183361,32.8125497162,False
2023-12-07,(2023 XQ1),54413288,8.8829041639,19.8627775481,False
2023-12-07,(2023 XG2),54414130,3.3927743538,7.5864740875,False
2023-12-07,(2023 XG10),54415883,195.2337861562,436.5560173498,True
2023-12-07,(2023 XS10),54415895,18.644681832,41.6907759952,False
2023-12-07,(2023 XH11),54416582,27.0741590945,60.5396601689,False
2023-12-07,(2023 XQ12),54416719,28.6124453783,63.9793728683,False
2023-12-07,(2023 XS17),54417540,27.0741590945,60.5396601689,False
2023-12-07,(2024 GE6),54434349,31.5177333263,70.4757942143,False
2023-12-07,(2024 HT),54435538,21.8049440483,48.7573371375,False
2023-12-06,139622 (2001 QQ142),2139622,540.2004935068,1207.9250249602,True
2023-12-06,153315 (2001 NH6),2153315,327.0054392819,731.2063912466,False
2023-12-06,215442 (2002 MQ3),2215442,525.4785303417,1175.0057145608,False
2023-12-06,(2017 MZ2),3776011,19.978136523,44.6724713292,False
2023-12-06,(2017 TH2),3785685,4.6190746028,10.328564805,False
2023-12-06,(2017 WY14),3789672,94.7447112647,211.8556148964,False
2023-12-06,(2018 BJ3),3797855,61.7383440472,138.0511341077,False
2023-12-06,(2020 CB),3989355,7.6657557353,17.1411509231,False
2023-12-06,(2020 DB4),54005704,22.1082810359,49.435619262,False
2023-12-06,(2020 FE6),54016401,258.5562120799,578.1492662155,False
2023-12-06,(2022 BB3),54240297,68.9532874451,154.1842379994,False
2023-12-06,(2023 MO),54373549,28.7445144255,64.2746882356,False
2023-12-06,(2023 TB27),54395894,31.3729224956,70.151987353,False
2023-12-06,(2023 VU1),54402473,77.7239702031,173.7960808552,False
2023-12-06,(2023 VV5),54404090,93.4447650924,208.9488468882,False
2023-12-06,(2023 VN8),54404884,27.4507981651,61.3818507339,False
2023-12-06,(2023 XK),54412462,24.3531406274,54.4552779086,False
2023-12-06,(2023 XL),54412463,20.0703514113,44.8786700881,False
2023-12-06,(2023 XC1),54413269,13.444819516,30.0635303831,False
2023-12-06,(2023 XF1),54413273,12.14940408,27.1668934089,False
2023-12-06,(2023 XJ1),54413276,7.9168966694,17.7027191237,False
2023-12-06,(2023 XK1),54413277,12.9585072669,28.9761031358,False
2023-12-06,(2023 XK2),54414133,11.6025908209,25.9441817907,False
2023-12-06,(2023 XU10),54415896,7.8082727749,17.4598287116,False
2023-12-06,(2023 YJ),54417551,7.1212294074,15.9235530382,False
2023-12-06,(2024 GX2),54433561,44.1118199997,98.6370281305,False
