date,name,id,diameter_min_m,diameter_max_m,potentially_hazardous,unique_id
2023-12-02,(2008 WT62),3440396,63.4680238998,141.9188158376,False,3440396_(2008 WT62)_2023-12-02
2023-12-02,(2010 XQ69),3553987,58.1507039646,130.0289270043,False,3553987_(2010 XQ69)_2023-12-02
2023-12-02,(2015 FU284),3714590,5.8150703965,13.0028927004,False,3714590_(2015 FU284)_2023-12-02
2023-12-02,(2016 UW41),3762123,167.7084621628,375.0075217981,False,3762123_(2016 UW41)_2023-12-02
2023-12-02,(2017 AL4),3766334,65.2461629789,145.8948556919,False,3766334_(2017 AL4)_2023-12-02
2023-12-02,(2019 UJ6),3879720,16.0160337979,35.8129403019,False,3879720_(2019 UJ6)_2023-12-02
2023-12-02,(2023 XJ),54412461,4.9040509842,10.9657913657,False,54412461_(2023 XJ)_2023-12-02
2023-12-02,(2023 XU),54412472,3.2103691737,7.1786037053,False,54412472_(2023 XU)_2023-12-02
2023-12-02,(2023 XG1),54413274,42.7124985051,95.5080501462,False,54413274_(2023 XG1)_2023-12-02
2023-12-02,(2023 XM1),54413279,33.9277435382,75.8647408746,False,54413279_(2023 XM1)_2023-12-02
2023-12-05,(2012 XN55),3619732,44.7254765433,100.0092058768,False,3619732_(2012 XN55)_2023-12-05
2023-12-05,(2014 YN9),3702938,184.7374636151,413.0855266343,False,3702938_(2014 YN9)_2023-12-05
2023-12-05,(2015 YQ1),3738932,6.676594135,14.9293183439,False,3738932_(2015 YQ1)_2023-12-05
2023-12-05,(2016 VY3),3763554,252.6707541538,564.9889822141,False,3763554_(2016 VY3)_2023-12-05
2023-12-05,(2018 JP1),3824066,179.7028548592,401.8277992159,False,3824066_(2018 JP1)_2023-12-05
2023-12-05,(2018 WL2),3836660,112.8638800969,252.3713081011,False,3836660_(2018 WL2)_2023-12-05
2023-12-05,(2018 XN),3836720,44.1118199997,98.6370281305,False,3836720_(2018 XN)_2023-12-05
2023-12-05,(2019 TZ6),3879168,7.6657557353,17.1411509231,False,3879168_(2019 TZ6)_2023-12-05
2023-12-05,(2022 WF2),54327895,14.4063836669,32.2136531891,False,54327895_(2022 WF2)_2023-12-05
2023-12-05,(2023 VC9),54405063,85.6160084723,191.4432149063,False,54405063_(2023 VC9)_2023-12-05
2023-12-05,(2023 WW),54406857,30.2381332572,67.6145214758,False,54406857_(2023 WW)_2023-12-05
2023-12-05,(2023 XZ),54412477,5.4269394569,12.1350055355,False,54412477_(2023 XZ)_2023-12-05
2023-12-05,(2023 XD1),54413271,9.6506146958,21.5794304844,False,54413271_(2023 XD1)_2023-12-05
2023-12-05,(2023 XR1),54413289,16.6937911773,37.3284518745,False,54413289_(2023 XR1)_2023-12-05
2023-12-05,(2023 XT1),54413291,32.851482781,73.4581486599,False,54413291_(2023 XT1)_2023-12-05
2023-12-05,(2023 XB2),54413299,59.5052078631,133.0576897973,False,54413299_(2023 XB2)_2023-12-05
2023-12-05,(2023 XJ2),54414132,36.6906137531,82.0427064882,False,54414132_(2023 XJ2)_2023-12-05
2023-12-05,(2023 XT10),54415894,6.4055286294,14.3231974473,False,54415894_(2023 XT10)_2023-12-05
2023-12-05,(2023 XW10),54416577,20.9196770901,46.7778200408,False,54416577_(2023 XW10)_2023-12-05
2023-12-05,(2023 XK13),54416845,63.1764148185,141.2667581089,False,54416845_(2023 XK13)_2023-12-05
2023-12-05,(2023 XT13),54416854,22.2103282246,49.6638037128,False,54416854_(2023 XT13)_2023-12-05
2023-12-04,(2013 VX4),3653519,45.7672667231,102.3387195373,False,3653519_(2013 VX4)_2023-12-04
2023-12-04,(2016 NM15),3754434,8.4053340207,18.7948982439,False,3754434_(2016 NM15)_2023-12-04
2023-12-04,(2017 CP32),3769400,41.9329075486,93.7648317729,False,3769400_(2017 CP32)_2023-12-04
2023-12-04,(2018 VP9),3836243,312.2877701029,698.296682492,False,3836243_(2018 VP9)_2023-12-04
2023-12-04,(2020 XR1),54098026,46.1907460282,103.2856480504,False,54098026_(2020 XR1)_2023-12-04
2023-12-04,(2020 YZ),54100698,135.6922289935,303.4170480479,False,54100698_(2020 YZ)_2023-12-04
2023-12-04,(2021 FR1),54132420,88.4209092655,197.7151637501,False,54132420_(2021 FR1)_2023-12-04
